Date,Open,High,Low,Close,AdjClose,Volume
9/15/2015,28.9825,29.1325,28.605,29.07,26.619503,173364800
9/16/2015,29.0625,29.135,28.860001,29.102501,26.649265,148694000
9/17/2015,28.915001,29.122499,28.43,28.48,26.079243,256450400
9/18/2015,28.0525,28.575001,27.967501,28.362499,25.971643,297141200
9/21/2015,28.4175,28.842501,28.415001,28.8025,26.374554,200888000
9/22/2015,28.344999,28.545,28.129999,28.35,25.960196,201384800
9/23/2015,28.407499,28.68,28.325001,28.58,26.170805,143026800
9/24/2015,28.3125,28.875,28.092501,28.75,26.326477,200878000
9/25/2015,29.110001,29.172501,28.504999,28.6775,26.260092,224607600
9/28/2015,28.4625,28.6425,28.110001,28.110001,25.740427,208436000
9/29/2015,28.2075,28.377501,26.965,27.264999,24.966654,293461600
9/30/2015,27.5425,27.885,27.182501,27.575001,25.250526,265892000
10/1/2015,27.2675,27.405001,26.827499,27.395,25.085701,255716400
10/2/2015,27.002501,27.752501,26.887501,27.594999,25.268839,232079200
10/5/2015,27.469999,27.842501,27.2675,27.695,25.360415,208258800
10/6/2015,27.657499,27.934999,27.442499,27.827499,25.481739,192787200
10/7/2015,27.934999,27.942499,27.352501,27.695,25.360415,187062400
10/8/2015,27.547501,27.547501,27.0525,27.375,25.067385,247918400
10/9/2015,27.5,28.07,27.372499,28.030001,25.667171,211064400
10/12/2015,28.182501,28.1875,27.860001,27.9,25.548134,121868800
10/13/2015,27.705,28.112499,27.67,27.9475,25.591629,132197200
10/14/2015,27.8225,27.879999,27.389999,27.5525,25.229923,177849600
10/15/2015,27.7325,28.025,27.622499,27.965,25.607651,150694000
10/16/2015,27.945,28,27.6325,27.76,25.419924,156930400
10/19/2015,27.700001,27.9375,27.5275,27.932501,25.57789,119036800
10/20/2015,27.834999,28.5425,27.705,28.442499,26.044897,195871200
10/21/2015,28.5,28.895,28.424999,28.440001,26.04261,167180800
10/22/2015,28.5825,28.875,28.525,28.875,26.440943,166616400
10/23/2015,29.174999,29.807501,29.0825,29.77,27.260498,237467600
10/26/2015,29.52,29.532499,28.73,28.82,26.390577,265335200
10/27/2015,28.85,29.135,28.497499,28.637501,26.223463,279537600
10/28/2015,29.2325,29.825001,29.014999,29.817499,27.303991,342205600
10/29/2015,29.674999,30.172501,29.567499,30.1325,27.592436,204909200
10/30/2015,30.247499,30.305,29.862499,29.875,27.356646,197461200
11/2/2015,30.200001,30.34,29.9025,30.295,27.741241,128813200
11/3/2015,30.1975,30.872499,30.174999,30.6425,28.059448,182076000
11/4/2015,30.782499,30.955,30.405001,30.5,27.928959,179544400
11/5/2015,30.4625,30.672501,30.045,30.23,27.800209,158210800
11/6/2015,30.2775,30.452499,30.155001,30.264999,27.832397,132169200
11/9/2015,30.24,30.452499,30.012501,30.1425,27.719746,135485600
11/10/2015,29.225,29.5175,29.014999,29.192499,26.846104,236511600
11/11/2015,29.092501,29.355,28.8025,29.0275,26.694366,180872000
11/12/2015,29.065001,29.205,28.9125,28.93,26.6047,130102400
11/13/2015,28.799999,28.8925,28.067499,28.084999,25.82762,183249600
11/16/2015,27.844999,28.559999,27.75,28.545,26.250643,152426800
11/17/2015,28.73,28.762501,28.33,28.422501,26.137993,110467600
11/18/2015,28.940001,29.372499,28.875,29.3225,26.965656,186698800
11/19/2015,29.41,29.9375,29.190001,29.695,27.308216,173183200
11/20/2015,29.799999,29.98,29.7125,29.825001,27.427763,137148400
11/23/2015,29.817499,29.932501,29.334999,29.4375,27.071411,129930000
11/24/2015,29.3325,29.8375,29.280001,29.719999,27.331203,171212800
11/25/2015,29.8025,29.807501,29.48,29.5075,27.135788,85553200
11/27/2015,29.5725,29.602501,29.4,29.452499,27.085205,52185600
11/30/2015,29.497499,29.852501,29.4375,29.575001,27.197857,156721200
12/1/2015,29.6875,29.702499,29.215,29.334999,26.977156,139409600
12/2/2015,29.334999,29.5275,29.02,29.07,26.733448,133546400
12/3/2015,29.137501,29.1975,28.555,28.799999,26.485151,166278000
12/4/2015,28.8225,29.8125,28.7775,29.7575,27.365685,231108000
12/7/2015,29.745001,29.965,29.452499,29.57,27.19326,128336800
12/8/2015,29.379999,29.65,29.215,29.557501,27.181767,137238000
12/9/2015,29.41,29.422501,28.77,28.905001,26.581713,185445600
12/10/2015,29.01,29.235001,28.877501,29.0425,26.708158,116850800
12/11/2015,28.797501,28.8475,28.2125,28.295,26.020741,187544800
12/14/2015,28.045,28.17,27.4475,28.120001,25.859806,257274800
12/15/2015,27.985001,28.200001,27.5875,27.622499,25.402294,213292400
12/16/2015,27.7675,27.997499,27.200001,27.834999,25.597712,224954000
12/17/2015,28.004999,28.0625,27.245001,27.245001,25.055134,179091200
12/18/2015,27.227501,27.379999,26.452499,26.5075,24.376911,385813200
12/21/2015,26.82,26.842501,26.3925,26.8325,24.675795,190362400
12/22/2015,26.85,26.93,26.612499,26.807501,24.652802,131157600
12/23/2015,26.817499,27.2125,26.799999,27.1525,24.97007,130629600
12/24/2015,27.25,27.25,26.987499,27.0075,24.836725,54281600
12/28/2015,26.897499,26.922501,26.545,26.705,24.55854,106816800
12/29/2015,26.74,27.3575,26.715,27.184999,24.99996,123724800
12/30/2015,27.145,27.174999,26.795,26.83,24.673492,100855200
12/31/2015,26.752501,26.7575,26.205,26.315001,24.199883,163649200
1/4/2016,25.6525,26.342501,25.5,26.3375,24.220587,270597600
1/5/2016,26.4375,26.4625,25.602501,25.6775,23.61363,223164000
1/6/2016,25.139999,25.592501,24.967501,25.174999,23.151516,273829600
1/7/2016,24.67,25.032499,24.1075,24.112499,22.174416,324377600
